HS Plot,N 5m <0.5m,N 5m 0.5--1.3m,N 5m >1.3m,N 10m <0.5m,N 10m 0.5-1.3m,N 10m >1.3m,E 5m <0.5m,E 5m 0.5-1.3m,E 5m >1.3m,E 10m <0.5m,E 10m 0.5-1.3m,E 10m >1.3m,S 5m <0.5m,S 5m 0.5-1.3m,S 5m >1.3m,S 10m <0.5m,S 10m 0.5-1.3m,S 10m >1.3m,W 5m <0.5m,W 5m 0.5-1.3m,W 5m >1.3m,W 10m <0.5m,W 10m 0.5-1.3m,W 10m >1.3m
3 60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RO, BO",RO,NA,NA,NA,NA,"RO, BO",NA,NA
4 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 16,WO,NA,NA,WO,NA,NA,"RO, BO",RO,NA,"RO, BO",NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,WO,NA,NA
4 17,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,"BO, RO",NA,NA,"BO, RO",NA,NA
4 25,RO,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,NA,RO,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
4 26,RO,NA,NA,RO,RO,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,RO,NA,RO,RO,NA
4 35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA
4 37,RO,NA,NA,NA,NA,NA,"BO, RO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 39,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
4 40,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
4 53,BO,NA,NA,BO,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BO,NA,NA,RO,NA,NA,RO,NA,NA
4 56,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA
4 57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA
4 68,NA,NA,NA,NA,NA,NA,RO,RO,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA
4 72,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA
4 74,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,RO,RO,NA,RO,NA,NA,RO,RO,NA,RO,NA,NA
4 76,RO,NA,NA,BO,NA,NA,RO,NA,NA,RO,NA,NA,BO,NA,NA,RO,NA,NA,"RO, BO",NA,NA,RO,NA,NA
4 77,NA,NA,NA,NA,NA,NA,RO,RO,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA
4 85,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA
4 87,RO,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA
4 90,NA,NA,NA,NA,RO,NA,NA,RO,NA,RO,RO,NA,RO,RO,NA,RO,NA,NA,NA,RO,NA,RO,NA,NA
4 93,RO,NA,NA,"RO, WO","RO, WO",NA,RO,RO,NA,RO,RO,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
4 96,NA,NA,NA,NA,NA,NA,"BO, RO ",NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA
4 97,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 7,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,WO,NA,NA,WO,NA,NA,"RO, WO",NA,NA,RO,NA,NA
5 9,RO,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,RO,NA
5 10,NA,NA,NA,"RO, WO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA
5 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,WO,NA,NA,NA,NA,NA,NA,NA,NA
5 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA
5 26,WO,NA,NA,BO,NA,NA,NA,NA,NA,NA,NA,NA,WO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA
5 27,RO,NA,NA,NA,NA,NA,NA,NA,NA,BO,NA,NA,BO,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA
5 32,NA,NA,NA,"BO, RO",NA,NA,NA,NA,NA,NA,NA,NA,BO,NA ,NA,"BO, RO",NA ,NA,BO,NA,RO,BO,NA,NA
5 38,RO,NA,NA,"WO, RO",NA,NA,RO,NA,NA,"WO, RO",NA,NA,NA,NA,NA,BO,NA,NA,BO,NA,NA,"BO, RO",RO,NA
5 54,RO,NA,NA,RO,NA,WO,CO,NA,NA,RO,NA,NA,"RO,CO",NA,NA,RO,NA,NA,RO,WO,NA,RO,WO,NA
5 55,RO,NA,NA,RO,NA,NA,"BO, RO ",NA,NA,"WO, RO",NA,NA,RO,NA,NA,"BO, RO",NA,NA,RO,NA,NA,RO,NA,NA
5 56,RO,NA,WO,RO,NA,NA,NA,NA,NA,NA,NA,NA,"WO, RO",NA,NA,WO,NA,NA,WO,NA,NA,"RO, WO",RO,NA
5 58,"RO, BO, WO",NA,NA,WO,WO,NA,BO,NA,NA,"WO, BO, RO",NA,WO,NA,NA,WO,"BO, RO",WO,NA,"RO, BO",NA,NA,"RO, BO",NA,NA
5 64,NA,RO,NA,RO,NA,NA,RO,NA,NA,"RO, WO",NA,NA,"RO, WO",NA,NA,WO,NA,NA,"RO,WO",NA,NA,WO,NA,NA
5 65,"BO, RO ",NA,NA,"RO, WO",NA,NA,RO,NA,NA,"RO, BO",NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
5 81,RO,NA,NA,"BO, RO",NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
5 85,"RO, BO, WO",NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,"RO, BO",NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,
5 86,NA,RO,WO,"RO, WO",NA,NA,RO,NA,NA,NA,RO,NA,RO,"RO, WO",NA,RO,NA,NA,RO,NA,RO,RO,NA,NA
5 98,RO,NA,NA,"BO, RO",NA,NA,"BO, RO ",NA,NA,RO,NA,NA,RO,RO ,RO,RO,NA,WO,RO,NA,NA,RO,NA,NA
6 1,RO,NA,NA,RO,NA,NA,RO. BO,NA,NA,NA,NA,NA,"RO, WO",NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
6 3,RO,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA
6 4,RO,NA,NA,RO,RO,NA,RO,NA,NA,RO,NA,NA,"BO, RO",NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA
6 5,RO,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,"RO, BO",NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA
6 8,RO,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,"RO, WO",NA,NA,"RO, WO",WO,NA,RO,NA,NA,RO,RO,NA
6 11,"WO, RO",NA,NA,RO,RO,WO,RO,NA,NA,RO,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
6 12,RO,NA,NA,RO,RO,NA,NA,NA,NA,NA,NA,NA,BO,NA,NA,BO,NA,NA,"BO, RO",NA,NA,NA,RO,NA
6 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BO,NA,NA,"BO, RO",BO,NA,NA,NA,NA,NA,NA
6 19,"RO, BO",NA,NA,RO,NA,NA,NA,RO,NA,NA,NA,NA,"BO, RO",NA,NA,"WO, RO, BO",NA,NA,"WO, RO, BO",NA,NA,"WO, RO, BO",WO,NA
6 23,"RO, WO",NA,NA,RO,NA,NA,WO,RO,NA,WO,NA,NA,WO,NA,NA,WO,NA,NA,WO,NA,NA,NA,WO,NA
6 24,NA,NA,NA,WO,WO,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 28,RO,NA,NA,RO,NA,NA,RO,NA,NA,"RO, BO",NA,NA,RO,NA,NA,"RO, BO",NA,NA,RO,NA,NA,RO,NA,NA
6 29,RO,"BO, WO",NA,"BO, RO","RO, WO",NA,"RO, WO",NA,NA,WO,"BO, WO",NA,WO,WO,NA,RO,WO,NA,RO,NA,NA,"RO, WO",NA,NA
6 33,NA,NA,NA,"WO, RO",NA,NA,NA,NA,NA,NA,NA,NA,"WO, BO",NA,NA,NA,NA,NA,NA,NA,NA,BO,NA,NA
6 35,NA,NA,NA,NA,WO,NA,NA,NA,NA,WO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WO,NA
6 37,"BO, RO ",WO,NA,WO,NA,NA,"BO, RO, WO",WO,NA,WO,WO,NA,"RO, WO ",WO,NA,"BO, WO",NA,NA,"BO, RO, WO",WO,NA,"RO, WO",NA,NA
6 42,NA,NA,NA,NA,NA,NA,NA,RO,NA,"BO, RO ",BO,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,"RO, WO",NA,NA
6 46,RO,RO,NA,RO,NA,NA,"RO, BO",WO,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
6 47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA
6 50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 53,,,,,,,,,,,,,,,,,,,,,,,,
6 56,BO,NA,NA,WO,NA,NA,"RO, WO",NA,NA,NA,NA,NA,"RO, BO",NA,NA,NA,NA,NA,"WO,BO, RO",NA,NA,WO,NA,NA
6 59,BO,NA,WO,NA,RO,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,BO,NA,NA
6 60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,RO,NA,NA,NA,NA,NA
6 65,"RO, BO","WO, BO",NA,NA,NA,NA,BO,BO,NA,"BO, WO",WO,NA,"BO, WO",NA,NA,"BO, WO, RO",NA,NA,"BO, WO",NA,NA,"BO, RO",NA,NA
6 66,NA,NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,"RO, WO",NA,NA,BO,NA,NA
6 67,"RO, CO",NA,NA,"RO, BO",RO,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,RO,NA,RO,NA,NA,"RO, BO",NA,NA
6 68,NA,RO,NA,NA,NA,NA,"WO, RO",NA,NA,"RO, WO",NA,NA,NA,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
6 69,RO,RO,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,RO,NA,NA
6 70,RO,NA,NA,NA,NA,NA,NA,BO,NA,RO,NA,NA,NA,NA,NA,RO,RO,NA,RO,NA,NA,RO,NA,NA
6 77,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,NA,NA,NA
6 81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RO, BO"
6 85,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA,RO,NA,NA
