system:index,2005-04-15_tcg_stddev,2005-05-15_tcg_stddev,2005-06-15_tcg_stddev,2005-07-15_tcg_stddev,2005-08-15_tcg_stddev,2006-04-15_tcg_stddev,2006-05-15_tcg_stddev,2006-06-15_tcg_stddev,2006-07-15_tcg_stddev,2006-08-15_tcg_stddev,2007-04-15_tcg_stddev,2007-05-15_tcg_stddev,2007-06-15_tcg_stddev,2007-07-15_tcg_stddev,2007-08-15_tcg_stddev,2008-04-15_tcg_stddev,2008-05-15_tcg_stddev,2008-06-15_tcg_stddev,2008-07-15_tcg_stddev,2008-08-15_tcg_stddev,2009-04-15_tcg_stddev,2009-05-15_tcg_stddev,2009-06-15_tcg_stddev,2009-07-15_tcg_stddev,2009-08-15_tcg_stddev,2010-04-15_tcg_stddev,2010-05-15_tcg_stddev,2010-06-15_tcg_stddev,2010-07-15_tcg_stddev,2010-08-15_tcg_stddev,2011-04-15_tcg_stddev,2011-05-15_tcg_stddev,2011-06-15_tcg_stddev,2011-07-15_tcg_stddev,2011-08-15_tcg_stddev,2012-04-15_tcg_stddev,2012-05-15_tcg_stddev,2012-06-15_tcg_stddev,2012-07-15_tcg_stddev,2012-08-15_tcg_stddev,2013-04-15_tcg_stddev,2013-05-15_tcg_stddev,2013-06-15_tcg_stddev,2013-07-15_tcg_stddev,2013-08-15_tcg_stddev,2014-04-15_tcg_stddev,2014-05-15_tcg_stddev,2014-06-15_tcg_stddev,2014-07-15_tcg_stddev,2014-08-15_tcg_stddev,2015-04-15_tcg_stddev,2015-05-15_tcg_stddev,2015-06-15_tcg_stddev,2015-07-15_tcg_stddev,2015-08-15_tcg_stddev,2016-04-15_tcg_stddev,2016-05-15_tcg_stddev,2016-06-15_tcg_stddev,2016-07-15_tcg_stddev,2016-08-15_tcg_stddev,2017-04-15_tcg_stddev,2017-05-15_tcg_stddev,2017-06-15_tcg_stddev,2017-07-15_tcg_stddev,2017-08-15_tcg_stddev,2018-04-15_tcg_stddev,2018-05-15_tcg_stddev,2018-06-15_tcg_stddev,2018-07-15_tcg_stddev,2018-08-15_tcg_stddev,2019-04-15_tcg_stddev,2019-05-15_tcg_stddev,2019-06-15_tcg_stddev,2019-07-15_tcg_stddev,2019-08-15_tcg_stddev,2020-04-15_tcg_stddev,2020-05-15_tcg_stddev,2020-06-15_tcg_stddev,2020-07-15_tcg_stddev,2020-08-15_tcg_stddev,2021-04-15_tcg_stddev,2021-05-15_tcg_stddev,2021-06-15_tcg_stddev,2021-07-15_tcg_stddev,2021-08-15_tcg_stddev,2022-04-15_tcg_stddev,2022-05-15_tcg_stddev,2022-06-15_tcg_stddev,2022-07-15_tcg_stddev,2022-08-15_tcg_stddev,id,.geo
66,18,0,0,0,16,0,47,11,72,0,13,12,13,0,12,31,37,30,0,78,0,0,,1,0,58,16,25,0,7,34,0,9,10,0,0,,0,,0,13,28,18,0,0,0,0,25,2,,14,0,15,0,0,0,0,18,5,12,5,11,0,3,30,7,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,51,0,16,0,103,"{""type"":""Point"",""coordinates"":[-72.32008204474779,42.420137318498135]}"
67,19,0,0,0,19,0,48,0,4,0,6,15,13,0,18,35,37,13,0,75,0,0,,3,25,56,22,40,0,9,30,,14,9,0,0,,0,,0,11,38,14,0,0,16,0,0,7,,15,0,16,0,0,0,0,17,2,8,4,1,0,4,,5,0,0,,,0,,0,0,0,,0,,0,0,,0,0,,,0,26,0,8,0,104,"{""type"":""Point"",""coordinates"":[-72.32283776919883,42.420560933098216]}"
68,12,0,0,0,17,0,32,7,63,0,11,15,7,0,9,15,34,29,0,74,0,22,,0,0,37,0,21,0,22,21,0,5,4,0,0,,1,,0,20,19,16,0,0,0,0,6,2,,8,0,15,0,0,0,17,9,3,4,4,6,0,4,66,3,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,10,0,4,0,105,"{""type"":""Point"",""coordinates"":[-72.3191233380213,42.419339139409566]}"
69,18,0,0,0,16,4,55,12,1,0,6,0,13,3,18,39,35,19,0,6,0,22,,4,14,29,0,34,0,23,28,,5,5,34,0,,9,,0,0,0,14,0,11,0,0,3,0,0,16,0,77,0,0,0,27,11,2,9,4,7,0,0,0,7,0,0,,,0,,0,0,0,,0,,0,0,,0,0,,,0,16,0,30,0,106,"{""type"":""Point"",""coordinates"":[-72.3231276107673,42.419299007500086]}"
0000000000000000006a,16,0,,0,21,6,69,7,9,0,2,35,6,5,24,27,51,25,0,0,0,46,,1,0,48,8,48,23,4,32,,9,17,18,0,,1,0,0,9,37,7,0,6,0,0,0,13,0,10,,45,0,47,0,68,10,9,6,2,10,,0,0,8,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,37,3,33,0,107,"{""type"":""Point"",""coordinates"":[-72.32846515472828,42.41854541942206]}"
0000000000000000006b,19,0,0,0,25,8,48,12,68,0,14,0,17,4,17,39,16,15,0,3,0,43,,0,0,54,0,44,27,17,37,,6,0,0,0,,1,,0,0,0,25,0,9,0,0,26,0,0,19,0,19,0,0,0,26,17,4,4,6,0,0,0,10,7,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,11,0,7,0,108,"{""type"":""Point"",""coordinates"":[-72.32083117372477,42.41846069650205]}"
0000000000000000006c,18,0,,0,13,6,46,0,16,0,7,31,12,0,26,41,55,0,0,12,0,8,,0,0,19,3,11,61,23,50,,17,25,,0,,2,0,0,13,31,0,,28,9,,0,0,0,0,0,0,0,0,0,51,10,0,7,5,0,,2,72,11,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,16,38,0,109,"{""type"":""Point"",""coordinates"":[-72.33180948051836,42.41464816510135]}"
0000000000000000006d,11,0,0,,24,3,49,2,0,0,13,16,88,2,16,39,58,6,0,0,0,53,0,8,28,63,28,30,13,23,31,,11,9,23,42,,1,,0,7,0,3,0,5,0,,33,6,0,15,0,15,0,10,0,25,15,2,12,9,13,,2,15,6,0,0,,,0,0,0,0,0,,0,,0,0,,0,0,,0,0,9,0,43,0,110,"{""type"":""Point"",""coordinates"":[-72.32102291507007,42.41608845474162]}"
0000000000000000006e,11,0,0,,19,6,41,10,0,0,11,25,94,3,15,33,51,8,0,0,0,33,0,5,0,55,10,32,27,18,33,,17,5,18,0,,5,0,0,11,0,5,0,9,0,0,37,7,0,14,0,50,0,37,0,0,19,6,5,8,5,3,1,0,6,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,81,0,111,"{""type"":""Point"",""coordinates"":[-72.31919914273921,42.41570051294996]}"
0000000000000000006f,13,0,0,,12,6,61,5,16,0,2,23,11,3,23,30,48,5,0,10,0,39,,5,0,21,12,17,31,23,32,,17,5,,0,,3,,0,10,0,1,0,9,0,0,3,7,0,9,0,21,0,11,0,47,5,6,15,2,8,,2,0,5,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,25,11,100,0,112,"{""type"":""Point"",""coordinates"":[-72.32796573541029,42.416806370011216]}"
70,3,3,0,0,0,1,0,1,2,0,3,5,2,3,5,4,2,0,5,3,0,,,5,3,4,0,17,0,2,0,4,2,2,1,0,,4,0,0,0,1,0,0,0,0,,6,0,1,0,0,0,0,0,3,,4,1,0,2,0,,6,3,2,0,0,,0,0,,0,0,0,0,0,,0,0,,0,0,,0,0,0,3,3,,113,"{""type"":""Point"",""coordinates"":[-72.32389011704744,42.314501214542005]}"
71,11,0,0,,23,14,53,8,15,0,7,27,17,0,0,26,46,7,0,12,0,15,,2,0,45,7,15,29,18,26,,11,4,19,0,,3,,0,0,21,3,0,5,0,,16,9,0,14,0,104,0,25,0,52,11,0,8,2,15,,0,0,10,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,16,70,0,114,"{""type"":""Point"",""coordinates"":[-72.32783642147973,42.416008190922646]}"
72,26,0,0,0,18,5,0,1,0,0,19,13,13,0,12,45,44,1,0,11,0,29,,1,16,24,20,2,27,26,0,,15,5,,0,,0,,0,0,25,0,0,0,0,,65,10,0,16,0,21,0,0,0,41,17,8,9,6,7,,1,0,7,0,0,,0,0,0,0,12,0,0,0,,0,0,,0,0,,0,0,0,2,96,0,115,"{""type"":""Point"",""coordinates"":[-72.32492462849184,42.415143125318274]}"
73,22,0,0,0,2,3,0,5,0,0,20,25,13,0,16,42,26,0,0,12,0,36,,0,0,26,17,10,26,27,0,,14,13,,0,,0,0,0,9,33,1,,0,0,,54,8,0,16,0,20,0,63,0,65,10,6,12,3,19,,0,0,6,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,29,66,0,116,"{""type"":""Point"",""coordinates"":[-72.32634708172789,42.41482207004243]}"
74,21,0,0,0,52,8,0,15,76,0,13,25,8,0,15,39,45,9,0,11,0,1,,0,27,60,15,6,36,19,0,,9,6,19,0,,0,0,0,13,27,0,,0,20,,10,3,0,22,0,62,0,0,0,0,10,4,9,14,0,,5,34,15,0,0,,,0,0,0,0,0,,0,,0,0,,0,0,,0,0,0,0,38,0,117,"{""type"":""Point"",""coordinates"":[-72.31960492093508,42.41361811275801]}"
75,20,0,0,0,16,9,0,8,77,0,11,30,14,0,20,36,52,11,0,15,0,34,,0,29,50,19,9,0,17,0,,5,3,10,0,,0,0,0,11,37,0,,0,18,,3,2,0,17,0,76,0,0,0,31,18,4,10,13,1,0,5,0,13,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,2,0,118,"{""type"":""Point"",""coordinates"":[-72.32037188631627,42.41345758512008]}"
76,15,0,,0,14,6,39,0,12,0,1,34,10,,27,16,43,0,0,10,0,0,,4,0,25,5,7,0,13,26,,11,15,13,0,,10,0,0,15,25,0,0,15,2,,0,0,0,12,0,0,0,37,0,29,6,2,18,8,0,,3,53,7,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,67,12,28,0,119,"{""type"":""Point"",""coordinates"":[-72.33075713266975,42.41429143701707]}"
77,9,0,0,0,9,0,43,0,6,0,10,23,4,0,23,15,29,12,0,9,0,19,,5,0,14,9,47,55,4,20,,14,18,,0,,0,0,0,17,23,5,0,0,0,,0,6,,7,0,80,0,55,0,39,4,0,13,4,14,,0,0,2,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,69,7,36,0,120,"{""type"":""Point"",""coordinates"":[-72.32927671112,42.412449828282]}"
78,17,0,,0,18,7,51,5,11,0,12,42,8,,20,23,33,0,0,15,0,22,,35,7,7,15,10,,18,33,,16,7,,0,,5,0,1,14,40,0,0,14,0,,100,0,0,0,0,0,0,6,0,34,13,5,18,7,0,,10,24,12,0,0,,0,0,0,0,0,0,0,,,0,0,,0,,,,0,28,4,27,0,121,"{""type"":""Point"",""coordinates"":[-72.33807451749844,42.41540175317938]}"
79,17,0,,0,9,0,41,12,1,0,3,33,13,0,30,23,20,,0,4,0,31,,4,24,13,0,10,0,21,32,,7,15,,0,,5,0,0,20,30,2,0,0,0,0,0,4,0,0,0,1,0,39,0,33,9,2,20,4,0,,0,0,7,0,0,,0,0,0,0,9,0,0,,,0,0,,0,,,,0,24,27,35,0,122,"{""type"":""Point"",""coordinates"":[-72.33570673483906,42.41269061973888]}"
0000000000000000007a,15,0,,0,13,0,41,9,38,0,6,31,10,0,26,24,17,0,0,5,0,28,,2,0,17,0,7,41,15,38,,11,23,0,0,,2,0,0,12,23,5,0,0,0,,4,2,,0,0,16,0,0,0,41,8,9,12,3,10,,0,0,9,0,0,,0,0,0,0,10,0,0,,,0,0,,0,0,,,0,19,24,40,0,123,"{""type"":""Point"",""coordinates"":[-72.33281723735644,42.412409696372514]}"
0000000000000000007b,9,0,,0,10,4,37,0,14,0,1,29,5,,29,10,38,6,0,2,0,0,,5,0,31,3,17,54,5,22,,9,10,,0,,0,0,0,17,21,23,0,3,0,0,8,3,0,6,0,15,0,44,0,0,4,1,15,2,9,,1,53,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,44,10,23,0,124,"{""type"":""Point"",""coordinates"":[-72.33099346502557,42.41345758512008]}"
0000000000000000007c,18,0,0,0,35,5,53,4,2,0,14,34,8,6,28,39,23,14,0,9,0,32,,8,0,25,18,14,28,17,40,,12,4,17,0,,5,,0,0,0,3,0,7,0,,0,0,0,18,,25,0,0,0,51,19,1,8,7,8,,0,11,7,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,73,9,47,0,125,"{""type"":""Point"",""coordinates"":[-72.32528135657611,42.40935075304985]}"
0000000000000000007d,17,0,,0,27,7,43,11,0,0,11,38,3,0,30,24,43,16,,7,0,39,,0,0,13,7,9,17,22,29,,18,17,,0,,1,0,,17,33,4,0,6,0,,0,7,0,,,2,0,0,0,28,7,4,9,7,11,,34,66,12,0,0,,0,0,0,0,11,0,,,,0,0,,0,0,,,0,26,8,36,0,126,"{""type"":""Point"",""coordinates"":[-72.33460087777782,42.41033175528161]}"
0000000000000000007e,10,0,,0,3,5,55,1,0,0,6,39,8,0,27,21,56,13,,4,0,46,,5,0,15,8,4,17,21,28,,16,14,,0,,3,0,,16,43,1,0,13,0,0,0,7,0,,0,0,0,0,0,40,10,0,24,6,4,,1,84,12,0,0,,0,0,0,0,12,0,,,,0,0,,0,0,,,0,23,15,0,0,127,"{""type"":""Point"",""coordinates"":[-72.3356933575359,42.40997056809628]}"
0000000000000000007f,5,16,0,5,31,13,15,8,6,0,16,24,13,0,0,7,25,1,9,8,8,30,,26,1,12,3,9,7,4,17,,3,17,13,0,,3,,1,11,0,5,0,6,0,7,10,15,10,9,0,62,0,11,5,45,7,3,23,6,5,0,7,20,3,0,0,,0,0,0,0,9,0,3,23,,,0,,0,0,2,0,0,8,7,22,16,128,"{""type"":""Point"",""coordinates"":[-72.27398385805726,42.35467771503355]}"
80,3,23,0,17,26,14,19,16,2,0,11,24,10,0,0,7,18,12,43,8,0,17,,1,3,14,0,9,19,6,0,0,2,6,10,0,,0,0,6,5,34,0,0,0,0,0,16,5,0,6,0,0,0,0,8,22,5,1,17,4,15,0,7,5,0,0,1,,0,0,0,0,0,0,2,30,,0,0,,0,0,3,0,0,15,11,25,84,129,"{""type"":""Point"",""coordinates"":[-72.2741622220994,42.353362280222775]}"
81,13,51,0,9,20,9,36,3,4,0,7,43,19,6,0,12,43,14,13,9,20,53,,69,5,22,3,33,26,5,19,,8,5,13,0,,2,,4,3,0,1,0,8,0,16,18,17,6,8,0,0,0,8,0,0,11,5,27,0,9,0,5,9,0,0,9,0,0,0,0,0,13,0,1,43,,,,,0,0,2,0,0,15,8,31,58,130,"{""type"":""Point"",""coordinates"":[-72.27140649764839,42.354129245603986]}"
82,10,32,0,7,17,11,25,2,9,0,7,19,7,9,0,17,50,28,16,8,0,48,,64,1,27,2,19,7,6,0,,11,14,1,0,,0,,8,3,38,3,0,0,0,0,8,8,10,3,0,0,0,0,13,23,3,4,17,2,8,0,2,6,0,0,5,0,0,0,0,0,14,0,3,37,,,,,0,0,5,0,0,13,8,8,35,131,"{""type"":""Point"",""coordinates"":[-72.27152243427577,42.353647662690214]}"
83,7,30,0,8,27,11,26,11,8,0,6,18,9,9,0,11,37,11,15,9,0,1,,0,0,14,11,15,6,8,0,,9,23,12,0,,0,0,11,3,43,6,0,0,0,0,15,12,0,7,0,0,0,0,12,23,13,0,24,12,16,0,11,9,1,0,5,0,0,0,0,0,12,0,4,36,,0,,,0,0,4,0,0,12,12,4,25,132,"{""type"":""Point"",""coordinates"":[-72.2717676848337,42.353117029664844]}"
84,8,23,0,16,23,12,20,2,9,0,6,30,10,0,0,12,39,9,16,12,0,30,,68,12,17,0,14,10,5,0,,10,14,10,0,,0,,7,3,38,1,0,0,0,0,12,8,0,6,0,0,0,0,5,19,3,1,18,2,18,0,8,7,4,0,7,0,0,0,0,0,10,0,2,30,,,,,0,0,8,0,0,12,9,12,19,133,"{""type"":""Point"",""coordinates"":[-72.27127718371783,42.35325080269646]}"
85,26,38,0,10,31,14,21,2,5,0,14,25,11,0,1,29,44,9,13,13,0,14,,38,1,26,5,14,5,8,35,0,12,2,7,0,,0,0,20,19,37,3,1,0,0,0,60,2,0,19,0,4,0,0,19,,9,3,25,8,21,0,14,15,12,0,12,,0,0,0,0,0,0,9,68,,0,0,,0,0,1,0,0,24,6,27,11,134,"{""type"":""Point"",""coordinates"":[-72.27572736656917,42.35139135755716]}"
86,18,67,0,7,34,14,0,1,3,0,11,62,4,0,1,33,15,31,8,10,0,10,0,31,0,41,1,12,11,7,32,22,2,4,11,0,,0,0,14,7,33,2,5,6,0,0,24,0,0,14,0,6,0,0,10,,10,2,32,3,11,0,1,7,12,0,0,,0,0,0,0,0,0,0,45,0,0,0,,0,0,6,0,0,35,6,19,8,135,"{""type"":""Point"",""coordinates"":[-72.27924559730033,42.35189077687515]}"
87,12,0,0,4,31,0,30,3,2,0,7,25,18,9,9,17,41,18,6,3,0,50,0,39,6,31,0,6,2,0,26,0,0,0,4,0,,3,0,16,6,0,1,1,7,0,27,33,14,11,10,0,1,10,9,8,0,12,1,6,4,17,3,8,4,3,0,3,0,0,0,0,0,0,0,5,55,,0,0,,0,0,2,0,0,27,8,31,13,136,"{""type"":""Point"",""coordinates"":[-72.27516997893748,42.34897898388725]}"
88,13,0,0,0,35,5,37,4,5,0,7,50,10,9,1,20,52,0,0,2,0,56,,33,3,42,6,10,11,5,23,,10,1,11,0,,2,0,0,11,64,0,4,8,0,30,18,13,12,5,0,2,16,5,4,0,10,0,11,1,11,6,9,5,6,0,7,0,0,0,0,0,0,0,0,65,,0,0,,0,0,1,0,0,34,28,26,10,137,"{""type"":""Point"",""coordinates"":[-72.27493364658166,42.347329116497484]}"
89,13,38,0,0,11,4,34,9,5,0,6,54,12,0,1,19,41,4,8,10,0,21,,28,9,42,6,9,15,7,26,,6,2,14,0,,1,0,25,12,0,2,0,11,0,32,12,6,11,6,0,0,15,1,6,0,6,2,21,3,21,0,8,4,7,0,6,0,0,0,0,0,0,0,1,62,,0,0,,0,0,5,0,0,24,8,14,14,138,"{""type"":""Point"",""coordinates"":[-72.27493364658166,42.346370409770984]}"
0000000000000000008a,11,0,0,0,31,5,15,12,6,0,5,25,12,2,3,13,9,19,0,4,0,27,,26,1,23,8,6,9,32,22,0,10,1,5,0,,2,0,0,2,0,7,0,11,0,14,13,7,8,10,0,51,0,1,11,0,5,7,6,9,3,0,6,10,1,0,0,,0,0,,0,0,0,10,44,0,,0,,0,0,0,0,0,13,7,17,0,139,"{""type"":""Point"",""coordinates"":[-72.2815866253534,42.34785529042178]}"
0000000000000000008b,15,25,0,8,39,13,0,1,5,0,11,35,3,0,14,26,16,28,4,11,0,35,0,26,3,38,4,18,4,8,32,20,1,4,12,0,,0,0,23,8,21,2,1,0,0,0,14,4,0,12,0,56,0,0,16,0,9,0,10,8,0,0,8,9,4,0,0,,0,0,,0,0,0,8,31,0,0,0,,0,0,1,0,0,24,1,16,9,140,"{""type"":""Point"",""coordinates"":[-72.28251857747357,42.352051304513076]}"
0000000000000000008c,16,35,0,0,28,3,35,34,2,0,10,13,11,13,2,23,46,15,12,0,0,49,,55,6,35,3,16,13,5,27,,14,5,12,0,,3,0,0,10,65,1,10,11,0,27,3,13,10,0,0,7,5,34,5,22,8,2,9,3,12,5,8,6,7,0,7,0,0,0,0,0,16,0,0,56,0,0,0,,9,0,1,0,0,24,3,3,19,141,"{""type"":""Point"",""coordinates"":[-72.263282015529,42.3460627317983]}"
0000000000000000008d,11,31,0,7,17,12,27,3,2,0,4,14,8,0,0,15,34,0,12,45,17,5,,4,11,37,11,11,47,43,0,,2,6,11,0,,0,,25,5,44,2,0,0,0,0,12,8,0,0,0,0,0,0,7,0,10,0,16,2,2,0,2,7,2,0,5,,0,0,0,0,0,0,0,52,,,0,,0,0,4,0,0,9,8,17,21,142,"{""type"":""Point"",""coordinates"":[-72.27723454272524,42.345068352263375]}"
0000000000000000008e,13,43,0,9,15,13,0,3,6,0,6,24,7,0,19,18,39,3,12,9,29,10,,8,6,40,3,17,7,4,0,28,0,3,7,0,,0,0,33,2,41,3,0,0,0,0,15,13,0,1,0,0,0,0,11,0,12,4,13,2,1,,9,8,5,0,2,0,0,0,0,0,0,0,1,51,,,0,,0,0,2,0,0,7,10,19,9,143,"{""type"":""Point"",""coordinates"":[-72.27661918677985,42.34463136036014]}"
0000000000000000008f,16,45,0,10,15,13,0,18,2,0,5,34,9,,15,21,31,7,10,9,19,20,,22,1,40,5,15,4,3,24,47,12,1,10,0,,0,0,29,5,51,0,0,13,0,0,22,0,0,8,0,2,0,0,13,,13,2,9,5,0,0,6,7,7,0,8,0,0,0,0,0,0,0,0,48,,,0,,0,0,3,0,0,4,13,24,9,144,"{""type"":""Point"",""coordinates"":[-72.27632934521138,42.34324012083146]}"
90,15,49,0,8,19,14,37,40,3,0,5,56,8,0,18,17,32,18,10,7,23,8,,26,1,40,11,17,6,6,24,48,13,4,9,0,,0,0,33,8,56,4,6,10,0,0,16,7,0,4,0,3,0,0,10,,9,1,13,2,0,0,5,5,5,0,10,0,0,0,0,0,0,0,0,63,,,0,,8,0,0,0,0,1,12,43,10,145,"{""type"":""Point"",""coordinates"":[-72.2765389229609,42.34269611050295]}"
91,18,41,0,6,20,10,0,3,5,0,7,46,22,0,1,22,27,19,5,7,0,12,0,31,1,42,10,15,5,5,26,33,7,3,10,0,,0,0,28,8,47,3,0,11,0,0,12,7,0,3,0,21,0,0,10,0,13,0,29,5,3,0,6,9,7,0,0,,0,0,0,0,0,0,2,52,,0,0,,20,0,3,0,0,14,1,40,10,146,"{""type"":""Point"",""coordinates"":[-72.27982528043728,42.34303054308195]}"
92,14,39,0,16,21,12,0,15,3,0,11,45,10,0,14,22,24,18,0,17,30,9,,39,1,38,1,14,10,7,29,67,9,13,11,0,,7,0,23,4,49,1,0,10,1,0,43,0,0,1,0,10,0,0,9,0,8,0,8,4,0,0,7,6,3,0,7,0,0,0,0,0,0,0,1,59,,0,0,,8,0,2,0,0,0,10,12,10,147,"{""type"":""Point"",""coordinates"":[-72.26989932149232,42.34242856443974]}"
93,17,44,0,20,24,12,0,19,4,0,6,64,7,0,14,23,28,25,0,22,24,6,,44,1,37,1,15,8,8,27,71,11,11,7,0,,1,0,19,11,50,0,9,13,7,0,40,0,0,2,0,10,0,0,12,0,4,1,8,4,0,0,6,5,6,0,5,0,0,0,0,0,0,0,2,65,,0,0,,19,0,3,0,0,4,7,42,8,148,"{""type"":""Point"",""coordinates"":[-72.2694311158817,42.34232154601445]}"
94,9,41,0,3,5,3,0,0,8,0,4,3,2,9,6,13,18,18,1,11,9,11,0,24,0,25,3,11,9,4,21,32,2,5,3,0,,0,0,28,11,35,10,10,0,0,0,6,5,0,3,0,46,0,7,10,0,9,4,5,0,20,0,9,8,3,0,0,,0,0,,0,0,0,0,36,0,,0,,11,0,2,0,0,34,0,21,4,149,"{""type"":""Point"",""coordinates"":[-72.28506918327614,42.34317769341671]}"
95,15,43,0,8,21,11,0,26,5,0,6,27,4,0,0,21,15,19,7,9,0,11,,34,4,36,9,7,4,11,34,33,3,1,14,0,,0,0,28,9,49,1,2,7,0,0,14,0,62,9,0,3,0,0,15,0,15,0,11,7,0,0,9,9,8,0,0,,0,0,,0,0,0,9,35,,0,0,,14,0,1,0,0,15,4,18,9,150,"{""type"":""Point"",""coordinates"":[-72.28221089950088,42.34373954014946]}"
96,22,54,0,15,26,12,0,20,2,0,9,31,8,0,3,31,34,23,20,15,33,19,,76,1,55,6,16,8,5,27,34,6,9,16,0,,1,0,30,10,0,0,10,13,0,0,13,0,0,0,0,6,0,0,11,44,57,1,17,2,0,0,7,4,9,0,9,0,0,0,0,0,0,0,3,76,0,0,0,,16,0,4,0,0,28,16,5,16,151,"{""type"":""Point"",""coordinates"":[-72.26410694922389,42.341447562207975]}"
97,20,41,0,9,43,13,37,0,4,0,14,24,6,8,4,36,38,14,0,8,8,17,0,80,21,55,0,18,10,6,33,34,1,12,11,0,,0,0,33,20,52,0,11,10,0,30,13,4,4,0,0,6,0,6,11,36,10,0,23,4,0,0,8,6,9,0,8,0,0,0,0,0,0,0,4,73,0,0,0,,19,0,3,0,0,1,6,14,14,152,"{""type"":""Point"",""coordinates"":[-72.2653599566199,42.34005186357825]}"
98,15,37,0,12,43,0,34,5,5,0,10,34,3,12,12,15,7,31,0,9,24,18,0,50,1,33,0,17,11,9,16,0,9,14,7,0,,4,0,30,14,0,0,10,12,0,24,13,0,9,1,0,10,6,2,5,21,2,3,17,0,1,3,5,2,8,0,7,0,0,0,0,0,0,0,3,49,0,0,0,,5,0,4,0,0,18,4,12,17,153,"{""type"":""Point"",""coordinates"":[-72.26809784466673,42.33957919886658]}"
99,17,35,0,4,35,0,0,22,6,0,8,30,10,7,20,24,23,20,3,6,0,42,0,39,7,44,5,12,0,49,35,39,3,28,7,0,,2,0,26,29,0,4,3,8,0,27,8,12,55,12,0,25,22,6,11,6,11,8,27,5,16,4,16,13,8,0,0,,0,0,0,0,0,0,5,54,0,0,0,,11,0,0,0,0,13,0,3,5,154,"{""type"":""Point"",""coordinates"":[-72.28212617658086,42.34089909277841]}"
0000000000000000009a,11,39,0,4,18,5,0,7,43,0,6,52,21,22,23,18,23,19,7,3,0,40,0,35,5,33,0,7,6,56,30,0,3,20,12,0,,6,0,0,24,0,3,7,6,0,26,7,5,60,9,0,4,17,8,12,13,7,2,29,8,5,2,8,11,10,0,0,,,0,0,0,0,0,3,47,0,0,0,,7,0,2,0,0,20,0,4,8,155,"{""type"":""Point"",""coordinates"":[-72.28224211320826,42.34043534626885]}"
0000000000000000009b,14,32,0,0,17,11,0,23,1,0,10,37,16,4,21,22,14,3,0,0,0,14,,31,1,41,7,13,9,60,33,,9,4,9,0,,3,0,0,15,0,1,5,8,0,17,15,13,12,3,0,0,0,4,8,7,10,1,90,5,7,4,5,4,3,0,0,,0,0,0,0,0,0,4,33,,,0,,11,0,3,0,0,12,0,3,6,156,"{""type"":""Point"",""coordinates"":[-72.28098018761013,42.33879885618223]}"
0000000000000000009c,20,39,0,0,39,6,0,6,3,0,6,59,9,0,21,24,13,11,0,5,0,52,,46,6,49,7,10,33,63,1,,0,12,12,0,,0,0,35,17,0,6,0,6,0,23,10,14,13,11,0,15,11,9,7,18,6,6,31,4,2,0,4,6,9,0,6,0,0,0,0,0,0,0,1,51,0,,0,,4,0,4,0,0,19,6,5,7,157,"{""type"":""Point"",""coordinates"":[-72.27816649484541,42.33801405439682]}"
0000000000000000009d,20,43,0,0,25,8,0,13,2,0,11,57,10,0,15,25,15,29,0,5,0,47,,43,1,49,5,12,13,72,3,,2,4,12,0,,2,0,35,18,0,3,0,14,0,25,15,10,17,7,0,27,15,5,8,15,14,3,33,0,4,0,5,7,7,0,6,0,0,0,0,0,0,0,1,46,0,,0,,8,0,1,0,0,12,3,8,6,158,"{""type"":""Point"",""coordinates"":[-72.27674850071041,42.33775096743467]}"
0000000000000000009e,12,30,0,2,17,1,0,6,53,0,8,49,36,23,17,20,28,20,3,5,0,42,0,35,5,39,0,15,9,58,40,,8,6,10,0,,3,0,0,27,0,3,4,8,0,17,5,8,63,12,0,8,11,3,12,1,12,1,27,9,5,5,13,10,6,0,0,,,0,0,0,0,0,6,40,0,0,0,,7,0,2,0,0,9,0,4,5,159,"{""type"":""Point"",""coordinates"":[-72.2826880233136,42.34061371031098]}"
0000000000000000009f,18,51,0,8,44,0,40,9,5,0,10,24,9,14,22,18,11,21,0,5,8,20,0,0,8,36,1,13,11,17,10,51,9,8,14,0,,6,0,0,18,0,4,13,21,0,26,1,11,13,4,0,3,8,15,2,26,10,0,5,2,12,4,7,12,6,0,12,0,0,0,0,21,0,0,1,63,0,0,0,,13,0,6,0,0,21,5,13,13,160,"{""type"":""Point"",""coordinates"":[-72.26698306940337,42.338410914390586]}"
