system:index,2005-04-15_tcg_stddev,2005-05-15_tcg_stddev,2005-06-15_tcg_stddev,2005-07-15_tcg_stddev,2005-08-15_tcg_stddev,2006-04-15_tcg_stddev,2006-05-15_tcg_stddev,2006-06-15_tcg_stddev,2006-07-15_tcg_stddev,2006-08-15_tcg_stddev,2007-04-15_tcg_stddev,2007-05-15_tcg_stddev,2007-06-15_tcg_stddev,2007-07-15_tcg_stddev,2007-08-15_tcg_stddev,2008-04-15_tcg_stddev,2008-05-15_tcg_stddev,2008-06-15_tcg_stddev,2008-07-15_tcg_stddev,2008-08-15_tcg_stddev,2009-04-15_tcg_stddev,2009-05-15_tcg_stddev,2009-06-15_tcg_stddev,2009-07-15_tcg_stddev,2009-08-15_tcg_stddev,2010-04-15_tcg_stddev,2010-05-15_tcg_stddev,2010-06-15_tcg_stddev,2010-07-15_tcg_stddev,2010-08-15_tcg_stddev,2011-04-15_tcg_stddev,2011-05-15_tcg_stddev,2011-06-15_tcg_stddev,2011-07-15_tcg_stddev,2011-08-15_tcg_stddev,2012-04-15_tcg_stddev,2012-05-15_tcg_stddev,2012-06-15_tcg_stddev,2012-07-15_tcg_stddev,2012-08-15_tcg_stddev,2013-04-15_tcg_stddev,2013-05-15_tcg_stddev,2013-06-15_tcg_stddev,2013-07-15_tcg_stddev,2013-08-15_tcg_stddev,2014-04-15_tcg_stddev,2014-05-15_tcg_stddev,2014-06-15_tcg_stddev,2014-07-15_tcg_stddev,2014-08-15_tcg_stddev,2015-04-15_tcg_stddev,2015-05-15_tcg_stddev,2015-06-15_tcg_stddev,2015-07-15_tcg_stddev,2015-08-15_tcg_stddev,2016-04-15_tcg_stddev,2016-05-15_tcg_stddev,2016-06-15_tcg_stddev,2016-07-15_tcg_stddev,2016-08-15_tcg_stddev,2017-04-15_tcg_stddev,2017-05-15_tcg_stddev,2017-06-15_tcg_stddev,2017-07-15_tcg_stddev,2017-08-15_tcg_stddev,2018-04-15_tcg_stddev,2018-05-15_tcg_stddev,2018-06-15_tcg_stddev,2018-07-15_tcg_stddev,2018-08-15_tcg_stddev,2019-04-15_tcg_stddev,2019-05-15_tcg_stddev,2019-06-15_tcg_stddev,2019-07-15_tcg_stddev,2019-08-15_tcg_stddev,2020-04-15_tcg_stddev,2020-05-15_tcg_stddev,2020-06-15_tcg_stddev,2020-07-15_tcg_stddev,2020-08-15_tcg_stddev,2021-04-15_tcg_stddev,2021-05-15_tcg_stddev,2021-06-15_tcg_stddev,2021-07-15_tcg_stddev,2021-08-15_tcg_stddev,2022-04-15_tcg_stddev,2022-05-15_tcg_stddev,2022-06-15_tcg_stddev,2022-07-15_tcg_stddev,2022-08-15_tcg_stddev,id,.geo
52,15,101,,0,15,0,0,9,7,0,2,0,4,2,16,15,15,18,0,10,0,25,,10,10,35,0,14,4,2,19,,0,2,10,0,,2,0,24,0,0,83,0,9,0,0,14,0,0,5,0,0,0,11,3,22,9,2,0,3,19,0,9,0,1,0,0,,0,0,0,5,9,0,0,0,,0,0,,0,0,,0,0,33,0,18,0,83,"{""type"":""Point"",""coordinates"":[-72.33558633911062,42.367181034387414]}"
53,10,0,,0,12,0,0,5,8,0,2,0,6,5,19,14,17,7,0,5,0,45,,4,12,29,13,10,5,0,18,0,26,1,11,0,,1,0,18,0,0,73,0,9,0,0,5,0,0,7,0,0,0,16,2,14,6,3,0,0,24,0,11,0,5,0,0,,0,0,0,6,4,0,0,0,,0,0,,0,0,,0,0,28,0,24,0,84,"{""type"":""Point"",""coordinates"":[-72.33609913573177,42.36713198427584]}"
54,12,0,,0,19,6,0,10,9,0,4,25,6,3,15,19,14,2,0,7,0,44,,8,0,33,7,15,0,3,23,0,5,3,9,0,,1,0,0,0,0,73,0,7,0,0,5,0,0,4,,0,0,5,6,26,7,0,,2,30,0,14,0,1,0,0,,0,0,0,3,8,0,0,0,,0,0,,0,0,,0,0,0,0,26,0,85,"{""type"":""Point"",""coordinates"":[-72.33628641797601,42.36652108743151]}"
55,11,0,,0,10,7,0,4,6,0,6,25,8,5,18,14,14,5,0,7,0,38,,4,0,37,15,15,0,13,23,0,54,3,13,0,,1,0,0,0,0,102,0,8,0,0,10,0,0,10,,0,0,5,11,28,3,5,,4,18,0,4,0,0,0,0,,0,0,0,2,5,0,,0,,0,0,,0,0,,0,0,33,0,30,0,86,"{""type"":""Point"",""coordinates"":[-72.33764644379731,42.36673958338312]}"
56,10,0,,0,14,6,0,7,11,0,3,32,8,5,14,12,66,12,16,5,0,55,,7,5,23,7,14,3,8,19,0,37,2,12,0,,0,0,0,18,47,40,0,7,0,0,4,2,0,4,,0,0,9,4,16,10,10,,1,26,0,3,13,2,0,0,,0,0,0,5,12,0,0,0,,0,0,,0,0,,0,0,27,0,11,0,87,"{""type"":""Point"",""coordinates"":[-72.33554620720115,42.36582992676822]}"
57,13,55,0,0,17,0,54,14,23,0,0,0,10,6,27,21,43,19,0,7,0,34,0,7,27,48,0,20,8,5,23,0,0,20,18,21,,3,0,0,21,47,99,0,10,0,0,0,0,,10,0,,0,0,2,0,9,1,5,3,26,0,19,0,8,0,0,,0,0,0,0,6,0,0,0,,0,0,,0,0,,0,0,20,4,5,0,88,"{""type"":""Point"",""coordinates"":[-72.32724336103963,42.36654338293677]}"
58,17,48,,0,14,9,42,0,15,0,2,1,8,,13,27,33,49,0,7,0,0,,5,15,63,11,17,0,13,28,0,38,17,0,0,,0,0,0,18,27,24,0,10,0,,26,2,0,9,0,,0,40,5,,15,4,8,4,0,,7,0,2,0,0,,0,0,0,0,6,0,,0,,0,0,,0,0,,0,0,17,12,22,0,89,"{""type"":""Point"",""coordinates"":[-72.3314126205246,42.36870604694769]}"
59,17,54,0,0,17,0,46,0,20,0,0,15,6,3,8,29,30,32,0,10,0,26,,7,71,57,0,14,1,6,36,0,0,17,26,30,,3,0,0,11,43,81,0,0,0,,0,1,,12,0,0,0,0,7,0,14,7,9,10,10,0,18,0,8,0,0,,0,0,0,2,0,0,,0,,0,0,,0,0,,0,0,57,20,13,0,90,"{""type"":""Point"",""coordinates"":[-72.3292856293221,42.367198870791626]}"
0000000000000000005a,13,0,,0,5,6,30,4,0,0,2,33,5,,21,11,15,64,26,15,0,0,,6,7,25,8,13,0,23,17,,55,6,9,0,,0,0,0,17,33,0,0,14,0,,12,0,0,6,0,,0,3,5,0,7,0,0,3,0,,7,10,3,0,0,,0,,,9,5,0,,0,,0,0,,0,,,,0,0,10,14,,91,"{""type"":""Point"",""coordinates"":[-72.34062958240207,42.361642830879035]}"
0000000000000000005b,16,0,,,18,5,0,6,7,0,9,29,4,2,13,20,33,1,0,12,0,22,,3,7,43,0,15,3,10,27,0,40,3,9,0,,4,,28,0,0,91,0,20,0,0,15,3,0,6,0,,0,6,0,19,10,4,0,5,17,0,8,15,6,0,0,,0,0,0,5,6,0,,0,,0,0,,0,0,,0,0,22,48,23,0,92,"{""type"":""Point"",""coordinates"":[-72.33531879304742,42.36389913601208]}"
