 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_eucalanids  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   35.00","   90.00","2006-04-10","2006-04-07",18:48,Day," 2315.00",  117.17
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night," 2954.70",   77.37
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night, 2174.74,   72.64
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"  552.90","    5.09"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,  335.17,   32.57
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,  312.49,   17.24
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,   12.49,"    0.61"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,    8.45,    1.48
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,   63.39,"    0.13"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day,"   20.60","    5.10"
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day,"    0.00","    0.00"
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,    9.59,    6.69
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night,    4.58,"    0.31"
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night," 2118.00","   67.30"
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day,   62.62,   42.19
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day,"  720.67","   71.05"
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,  769.35,   66.91
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night," 1343.40","  273.02"
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day," 2002.73","  248.40"
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day,  137.19,  111.25
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"    0.00","    0.00"
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,  478.28,   15.62
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day, 5429.61,"  782.06"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night, 1367.24,  344.23
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day,"  541.07",   97.58
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day,  228.12,   54.77
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"    0.00","    0.00"
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night,   21.66,    5.89
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day,"    0.00","    0.00"
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night,"  184.00",   53.25
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day,"   94.70",    4.56
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day,"   20.47",    6.82
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night,  178.73,   16.63
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night,"  164.90",   42.14
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,  212.31,   38.89
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day,"  223.70",   48.93
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night,"  541.02","  110.98"
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day,"  301.07",    8.96
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night,"  105.13",    9.97
"200610RR","   35.00","   90.00","2006-10-29","2006-10-27","00:35",Night,  279.41,"   30.92"
"200610RR","   51.00","   80.00","2006-10-29","2006-11-01","22:06",Night,"    0.00","    0.00"
"200610RR","   55.00","   80.00","2006-10-29","2006-11-02","01:45",Night,  333.66,   76.95
"200610RR","   60.00","   80.00","2006-10-29","2006-11-02","06:06",Day,"   66.08",    1.73
"200610RR","   80.00","   80.00","2006-10-29","2006-11-02","18:06",Day,"  101.74",    1.87
"200610RR","   70.00","   80.00","2006-10-29","2006-11-02","12:05",Day,"    0.00","    0.00"
"200610RR","  100.00","   80.00","2006-10-29","2006-11-03","08:02",Day,    5.25,"    1.20"
"200610RR","   90.00","   80.00","2006-10-29","2006-11-03","00:21",Night,"    0.00","    0.00"
"200701JD","  110.00","   90.00","2007-01-22","2007-01-16","00:23",Night,  126.21,   23.12
"200701JD","   45.00","   90.00","2007-01-22","2007-01-18",23:11,Night,13724.52,  655.77
"200701JD","   35.00","   90.00","2007-01-22","2007-01-18",13:49,Day, 4273.61,  345.13
