 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_oithona_like  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night,14221.36,   12.48
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"39099.69",   48.44
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,28734.88,   25.39
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night, 6959.16,   12.17
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,  264.85,"    0.24"
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,  466.93,"    0.54"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night," 2204.08",    1.73
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,"  105.96","    0.11"
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,  316.97,"    0.64"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day, 6767.41,"   11.80"
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night," 2087.05","    5.50"
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day," 6165.02",   19.17
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day," 7095.89",    9.82
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night,"13050.56",   22.15
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day,"12950.59","   20.20"
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night,28356.18,   35.15
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,"46720.28",   61.91
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day, 2288.46,    3.39
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"    0.00","    0.00"
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day,"38047.13",   41.45
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day,37747.22,"   43.05"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night,23254.19,   33.42
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day,29811.64,   39.85
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,"31088.47",   37.99
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day,45297.68,"   55.00"
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day," 8407.72",   11.22
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"    0.00","    0.00"
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day, 4185.34,    7.15
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night," 8156.30","   19.09"
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day," 6281.70",   11.99
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day, 8717.38,   11.47
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night, 3911.68,"    5.06"
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night,"12522.08",   16.72
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night,"12104.96",   15.33
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day,"15081.53",   19.29
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,"15380.15",   23.28
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night, 4718.55,"    7.06"
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night, 9754.81,"   12.70"
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day, 7255.21,    9.94
"200610RR","   35.00","   90.00","2006-10-29","2006-10-27","00:35",Night," 4601.04",    5.83
"200610RR","   51.00","   80.00","2006-10-29","2006-11-01","22:06",Night,"10132.49","   11.08"
"200610RR","   60.00","   80.00","2006-10-29","2006-11-02","06:06",Day,"10117.81","   10.38"
"200610RR","   70.00","   80.00","2006-10-29","2006-11-02","12:05",Day, 9199.93,"   15.50"
"200610RR","   55.00","   80.00","2006-10-29","2006-11-02","01:45",Night,26626.29,"   27.08"
"200610RR","   80.00","   80.00","2006-10-29","2006-11-02","18:06",Day,"12906.05",   13.64
"200610RR","   90.00","   80.00","2006-10-29","2006-11-03","00:21",Night," 8340.88",   17.91
"200610RR","  100.00","   80.00","2006-10-29","2006-11-03","08:02",Day, 9515.68,   16.18
"200701JD","  110.00","   90.00","2007-01-22","2007-01-16","00:23",Night, 5155.64,   11.18
