 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  ostracods  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day, 1351.52,    6.95
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night, 1727.19,    7.31
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,  953.61,"    2.40"
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day, 1471.59,    3.53
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night, 1165.84,    4.28
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night, 3719.28,   14.29
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day, 1627.63,    6.88
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,  868.93,    1.48
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,  445.96,    1.81
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  898.53,    2.98
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"    0.00","    0.00"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day," 4091.98",    6.27
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night, 2215.11,    4.87
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night," 6540.83",   24.78
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night," 2886.07",   21.41
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day," 1178.06",    3.62
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"  268.02","    1.50"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night, 1538.19,    8.65
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,  744.79,    2.44
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day, 1872.56,   11.84
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night," 2725.02",    8.64
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day, 1837.15,    8.23
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,  983.85,    5.11
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,  657.71,"    5.07"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,  386.94,    1.51
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day, 2579.35,   13.44
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   26.75,"    0.05"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night," 2128.70",    7.19
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day," 2857.30",   17.77
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night, 4546.43,   21.34
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day, 5555.84,   26.63
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day," 4684.05",   31.48
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night, 2281.49,    5.14
