 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_poecilostomatoids  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,"24740.00",   51.97
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,19518.21,   44.76
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night," 5808.14","   10.15"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,"28110.29",   67.34
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day," 2551.05",    4.74
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,28868.68,   61.28
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,37512.33,"   64.60"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,25459.35,   59.17
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,  949.64,"    2.08"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,"11606.02",   28.18
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"25801.00",   55.69
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,44639.76,   85.41
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,27227.43,   67.84
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,33254.56,   61.56
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,"20172.57",   49.22
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"40216.23","  107.14"
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night, 2855.44,    5.79
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,11868.19,   23.87
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,18663.35,   33.23
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"38108.04",   69.91
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,17484.74,   32.16
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day," 4810.27",    8.12
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night, 5643.77,   11.22
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,32511.39,   73.45
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night," 3582.09",    7.84
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day, 3386.96,    8.74
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,  147.12,"    0.30"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,23344.56,   44.39
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,"13560.35",   34.31
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,"15019.33","   39.80"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,14645.16,   31.69
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day,"74955.80",  198.41
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night,"51874.03","  107.61"
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,45776.29,"  102.08"
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night, 5369.25,   12.55
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,  489.94,    1.19
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day," 1641.00",    2.39
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day, 2924.78,    6.39
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,33428.83,   71.65
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night," 3605.83",    6.97
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day, 5234.94,    9.37
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day,"10024.66",   17.55
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night,11413.38,   26.92
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day, 4645.45,"    9.40"
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day,28517.67,"   65.90"
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night," 5210.65",   11.11
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night,21167.46,   38.71
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night,"12042.16",   26.77
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night,12116.57,   19.27
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day,14921.91,"   20.46"
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day,64453.39,   86.16
"200602JD","   51.00","   80.00","2006-02-12","2006-02-16","03:08",Night,"305096.96",  351.49
"200602JD","  100.00","   80.00","2006-02-12","2006-02-17",12:28,Day,"10261.17",   18.86
"200604NH","  110.00","   90.00","2006-04-10","2006-04-05",12:24,Day," 6704.24","   14.04"
"200604NH","  100.00","   90.00","2006-04-10","2006-04-05",19:51,Night," 6370.16","   11.02"
"200604NH","   80.00","   90.00","2006-04-10","2006-04-06","07:58",Day, 4358.44,    5.73
"200604NH","   70.00","   90.00","2006-04-10","2006-04-06","16:04",Day,"42601.85","  106.22"
"200604NH","   60.00","   90.00","2006-04-10","2006-04-06",22:53,Night,"30583.34",   65.56
"200604NH","   90.00","   90.00","2006-04-10","2006-04-06","02:18",Night,14258.23,   28.24
"200604NH","   30.00","   90.00","2006-04-10","2006-04-07","00:53",Night,"157231.00",  434.16
"200604NH","   35.00","   90.00","2006-04-10","2006-04-07",18:48,Day,116972.66,"  273.06"
"200604NH","   37.00","   90.00","2006-04-10","2006-04-07",15:39,Day,"107783.02",  227.74
"200604NH","   45.00","   90.00","2006-04-10","2006-04-07","08:45",Day,"303316.38",  565.78
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night,36279.47,   63.56
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"104791.68","  306.64"
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"79003.54","   98.70"
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"78327.07","  136.04"
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day, 9965.33,   15.81
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day, 5324.88,    6.85
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,26491.35,   33.87
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,"10651.24",   17.43
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night, 7358.79,"   12.60"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day, 4666.11,"   11.90"
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night," 6316.08","   18.90"
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day,"12930.09",   42.18
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day, 4257.53,    7.89
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night, 8864.53,"   20.89"
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night," 9452.06",   21.38
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day, 6129.58,   12.59
