 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  Sum of All Copepods  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,69286.73,  259.29
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,"50781.34","  180.55"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,"30917.83","  117.60"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,"104685.13"," 1002.44"
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,"37878.08","  142.07"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"628380.80"," 2265.09"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,"603888.29", 1919.76
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,178687.58, 2774.69
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,12491.73,"  160.22"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,27587.97,  289.92
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"505769.62", 1861.68
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,"571388.90"," 1903.08"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,379891.93, 1958.19
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,222797.57,  734.41
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,"209737.99", 1246.36
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"381609.35", 2649.75
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"32090.22","  109.58"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,36856.23,  138.81
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"105173.67",  292.11
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"314805.48"," 1043.67"
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,62714.26,"  190.32"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"52340.72","  302.44"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,25679.15,"  149.10"
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,172976.74,  762.51
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night," 9546.05",   97.84
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,14751.67,  123.24
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day, 1328.52,   11.53
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,"193504.03",  782.73
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,"155889.08",  628.42
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,94843.93,"  711.30"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,"123909.70",  862.35
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day,328134.46, 1739.75
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night,385693.88," 1401.61"
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,385737.64, 1326.21
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,"87177.60",  466.19
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,"15031.12","   60.32"
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,41367.73,"   79.04"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,29513.65,   77.93
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,195164.67," 1035.26"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,"44106.43",  279.55
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,"80744.88","  294.80"
