 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_others  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night, 9154.23,    7.66
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night," 9849.00",   15.33
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"32694.03",   25.69
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,88154.64,   68.71
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night," 1370.15",    1.23
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,  693.99,"    1.08"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,11297.22,"   11.03"
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day," 2007.23",    2.39
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,  633.95,"    0.53"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day," 3708.17",    4.21
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day, 2953.42,    3.23
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night, 6544.65,    5.78
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day, 1945.32,"    2.90"
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night," 1098.45","    2.05"
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night,"10825.23","   10.93"
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,"30056.79",   29.12
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day, 5947.91,    7.59
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day," 1790.97",    1.95
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day,"34022.91",   45.96
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"25853.07",   33.75
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day,"15283.30",   15.14
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night, 7765.99,   11.45
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day,"12035.21",   16.21
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,13965.83,"   19.20"
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day,25697.97,"   42.06"
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day, 5233.44,    8.25
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"    0.00","    0.00"
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day, 1553.32,    1.61
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night, 1972.47,    2.45
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night, 4163.55,"    3.60"
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day," 2016.71",    1.78
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night," 2015.92",    1.91
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day," 1750.64",    1.46
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night," 8390.17",    6.71
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day," 5110.94",    4.36
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day," 6306.84",    5.14
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night," 3098.43",    2.47
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day, 6254.57,    8.25
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night," 6702.40",    5.75
"200610RR","   35.00","   90.00","2006-10-29","2006-10-27","00:35",Night," 2410.31",    1.89
"200610RR","   51.00","   80.00","2006-10-29","2006-11-01","22:06",Night,"  280.51","    0.24"
"200610RR","   80.00","   80.00","2006-10-29","2006-11-02","18:06",Day,"  872.03","    0.92"
"200610RR","   70.00","   80.00","2006-10-29","2006-11-02","12:05",Day,  415.63,"    0.49"
"200610RR","   55.00","   80.00","2006-10-29","2006-11-02","01:45",Night, 1267.92,    1.17
"200610RR","   60.00","   80.00","2006-10-29","2006-11-02","06:06",Day,  793.49,    1.22
"200610RR","   90.00","   80.00","2006-10-29","2006-11-03","00:21",Night,  334.92,"    0.59"
"200610RR","  100.00","   80.00","2006-10-29","2006-11-03","08:02",Day,"  100.05","    0.07"
"200701JD","  110.00","   90.00","2007-01-22","2007-01-16","00:23",Night, 1552.46,    1.64
"200701JD","   45.00","   90.00","2007-01-22","2007-01-18",23:11,Night, 7752.12,    7.28
"200701JD","   28.00","   90.00","2007-01-22","2007-01-18","02:39",Night, 5272.12,    4.72
"200701JD","   30.00","   90.00","2007-01-22","2007-01-18","08:05",Day, 6986.58,    6.33
"200701JD","   35.00","   90.00","2007-01-22","2007-01-18",13:49,Day, 7158.56,    6.37
"200701JD","   37.00","   90.00","2007-01-22","2007-01-18",17:12,Day, 9316.59,"   10.64"
"200701JD","   70.00","   90.00","2007-01-22","2007-01-19","18:05",Day, 3189.76,    3.17
"200701JD","   53.00","   90.00","2007-01-22","2007-01-19","05:09",Night," 5809.76","    5.05"
"200701JD","   60.00","   90.00","2007-01-22","2007-01-19","10:54",Day, 1485.86,    1.47
"200701JD","   80.00","   90.00","2007-01-22","2007-01-20","01:17",Night, 3886.85,    5.61
"200701JD","   90.00","   90.00","2007-01-22","2007-01-20","08:11",Day, 1383.23,"    3.90"
"200701JD","  100.00","   90.00","2007-01-22","2007-01-20","17:20",Day,"  879.00",    1.89
"200701JD","  120.00","   90.00","2007-01-22","2007-01-21","07:38",Day, 1194.85,    5.84
