 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  pyrosomes  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night,"    0.00","    0.00"
"200604NH","   45.00","   90.00","2006-04-10","2006-04-07","08:45",Day,"    0.00","    0.00"
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"    0.00","    0.00"
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"    0.00","    0.00"
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"    0.00","    0.00"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,"    0.00","    0.00"
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,"    0.00","    0.00"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,"    0.00","    0.00"
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,"    0.00","    0.00"
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,"    0.00","    0.00"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day,"    0.00","    0.00"
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night,"    0.00","    0.00"
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night,"    0.00","    0.00"
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day,"    0.00","    0.00"
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,"    0.00","    0.00"
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night,"    0.00","    0.00"
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,"    0.00","    0.00"
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day,"    0.00","    0.00"
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day,"    0.00","    0.00"
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day,"    0.00","    0.00"
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"    0.00","    0.00"
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day,"    0.00","    0.00"
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,"    0.00","    0.00"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night,"    0.00","    0.00"
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day,"    0.00","    0.00"
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day,"    0.00","    0.00"
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day,"    0.00","    0.00"
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"    0.00","    0.00"
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day,"    0.00","    0.00"
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night,"    0.00","    0.00"
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day,"    0.00","    0.00"
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day,"    0.00","    0.00"
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night,"    0.00","    0.00"
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night,"    0.00","    0.00"
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night,"    0.00","    0.00"
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,"    0.00","    0.00"
