 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  pteropoda  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night," 1017.74","    2.08"
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"    0.00","    0.00"
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"  869.90",    1.97
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"  512.03","    0.38"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night, 1794.28,    2.98
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day, 3575.53,    8.16
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,  297.52,"    0.14"
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,  492.56,    3.62
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night, 1346.25,"   14.06"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day, 1864.38,   11.98
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day," 3890.64",    8.44
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,"  863.01",    4.79
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night, 2889.84,"   81.70"
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night,  837.57,   14.62
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night," 1464.40","   15.30"
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day, 2461.26,"    7.70"
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day, 4913.49,   19.62
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day," 2026.50",   25.95
