 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  crustacea_others  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   45.00","   90.00","2006-04-10","2006-04-07","08:45",Day,"20971.44",    3.33
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night," 8806.01",    1.12
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,47519.32,    8.73
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day," 2068.55",    1.56
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"  869.90","    0.10"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,   97.51,"    0.25"
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,  281.51,"    4.07"
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,    4.27,    1.41
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,  762.62,    2.87
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,   63.39,"    0.04"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day, 1225.76,   23.45
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night,"  306.65",   64.11
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day, 1122.67,"    0.25"
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,"  258.90","    0.84"
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night, 1347.42,    8.16
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day,"  264.40",    6.63
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day,  748.24,   19.23
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night, 2634.16,   11.73
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,"   81.20",    1.23
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day,"28410.68",    3.91
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day, 3338.27,    4.23
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"39656.01",   16.75
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
