 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_calanoida  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night,138218.53,  464.71
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"319404.69"," 3803.81"
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"454550.78","  808.42"
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,558339.28, 2565.58
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,"115204.75",  196.41
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,"44466.09","  138.90"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,"242807.48",  978.65
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,67875.59,  166.36
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,"50585.03",  159.66
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day,55457.71,  157.56
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night,23886.66,  132.81
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day,"30970.27","  119.03"
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,32928.77,"  109.19"
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night,"117458.10",  577.53
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,115389.93,"  530.66"
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day,19212.93,  132.35
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night,"83082.38",  364.71
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day,57994.41,"  293.20"
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"    0.00","    0.00"
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day,"    0.00","    0.00"
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day,"286753.07","  582.02"
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day,267692.77, 1641.79
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,"235120.53", 1172.55
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night,188854.63," 1007.24"
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day,"234803.02"," 1078.78"
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day,"290423.02", 1786.69
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"122560.49",  741.54
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day,38164.23,  117.46
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night,"59982.08",  245.42
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day,49893.59,   81.45
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day,39359.12,"   90.61"
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night,34681.97,  131.41
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night,"64020.57","  328.05"
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night,111756.47,"  470.99"
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day,"149804.27",  355.87
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,"65982.06","  161.20"
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night,"65633.08",  378.84
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night,"90560.69",  315.44
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day,176848.17,  435.77
"200610RR","   35.00","   90.00","2006-10-29","2006-10-27","00:35",Night,73435.73,  347.98
"200610RR","   51.00","   80.00","2006-10-29","2006-11-01","22:06",Night,61866.11,"  117.70"
"200610RR","   60.00","   80.00","2006-10-29","2006-11-02","06:06",Day,78788.25,"  434.70"
