 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  doliolids  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night," 1064.23",    2.79
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,  265.33,"    0.18"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,"  307.27",    6.18
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,   35.25,"    0.15"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,   33.67,"    0.03"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"    0.00","    0.00"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,"    0.00","    0.00"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,  738.53,    3.95
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,    7.66,"    0.79"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  338.78,    1.92
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"    0.00","    0.00"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,  369.19,"    0.20"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,"    0.00","    0.00"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night, 3166.35,   39.87
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,"20580.76","  107.63"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day, 9253.86,   53.29
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"    0.00","    0.00"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,"   60.32","    0.65"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"    0.00","    0.00"
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"    0.00","    0.00"
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,"    0.00","    0.00"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,"   30.51","    0.23"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"    0.00","    0.00"
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,"    0.00","    0.00"
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,  115.59,"    0.05"
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"    0.00","    0.00"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"    0.00","    0.00"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,    3.72,"    0.04"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,"    0.00","    0.00"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,"   40.07","    0.75"
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night,"    0.00","    0.00"
