 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  Sum of All Non-Calanoid Copepods  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,29372.53,   61.85
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,"23630.80",   56.75
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night, 7946.21,   13.95
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,32454.51,   76.23
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day, 7842.62,   11.86
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"174097.61",  227.49
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,156957.13,  184.19
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,"43880.46",   86.53
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day, 2718.15,    5.86
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,12953.82,"   30.28"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,48151.87,   79.69
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,211294.85,  253.52
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,"66361.10",  118.46
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,41516.66,   68.95
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,62876.33,   96.49
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,77169.59,  163.45
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night, 6757.19,   11.46
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,16882.38,   36.58
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,24246.59,   42.13
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,67444.75,  111.38
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,23555.43,"   48.50"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"10530.60","   15.90"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night," 9068.16",   16.38
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,55728.29,"  112.02"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night, 4347.56,"    9.30"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day, 5278.69,   12.31
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"  329.90","    0.81"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,58475.72,   83.51
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,"20897.05","   50.60"
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,25412.37,   53.81
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,27828.47,   49.51
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day,"94606.68",  219.13
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night,69485.52,"  129.20"
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,"60185.16",  122.76
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,11231.46,   21.44
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day, 3563.65,    4.94
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day," 7360.38",    8.51
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day, 8232.13,   13.61
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,44851.74,"   85.08"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night," 6464.50","   10.38"
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,"21402.03",   24.73
