 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  appendicularia  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night, 4135.59,   23.89
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"15462.09",  142.25
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"11850.21",   14.65
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night, 5219.37,   27.98
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,"    0.00","    0.00"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,  322.39,    1.39
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,"  401.45",    7.91
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night," 3507.11",   34.13
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,  258.57,"    3.70"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day, 3646.36,   45.22
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day,  967.82,    4.96
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night,11611.88,  146.73
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,  575.34,    2.12
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night," 1180.83",   14.73
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night," 1464.40",    3.91
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day, 3268.15,   12.15
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day, 2715.35,"   22.30"
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day," 1076.04",   13.65
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day,"    0.00","    0.00"
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day,"    0.00","    0.00"
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day, 4529.65,   13.64
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day, 2858.12,"    8.20"
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,47876.21,"  284.02"
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day, 7153.28,"   40.42"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night, 7368.82,   48.44
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day," 8250.50",  126.13
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day,"18990.55","  140.25"
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night, 4682.61,   79.33
