plot,loc,size,RO,BO,WO,CO
1 19,W5,2,0,0,0,0
1 19,W5,3,0,0,0,0
1 19,W10,1,1,0,0,0
1 19,W10,2,0,0,0,0
1 19,W10,3,0,0,0,0
1 23,N5,1,1,0,0,0
1 23,N5,2,0,0,0,0
1 23,N5,3,0,0,0,0
1 23,N10,1,1,0,0,0
1 23,N10,2,0,0,0,0
1 23,N10,3,0,0,0,0
1 23,E5,1,1,0,0,0
1 23,E5,2,0,0,0,0
1 23,E5,3,0,0,0,0
1 23,E10,1,1,0,1,0
1 23,E10,2,0,0,0,0
1 23,E10,3,0,0,0,0
1 23,S5,1,1,0,0,0
1 23,S5,2,0,0,0,0
1 23,S5,3,0,0,0,0
1 23,S10,1,1,0,0,0
1 23,S10,2,0,0,0,0
1 23,S10,3,0,0,0,0
1 23,W5,1,1,1,1,0
1 23,W5,2,0,0,0,0
1 23,W5,3,0,0,0,0
1 23,W10,1,1,0,0,0
1 23,W10,2,0,0,0,0
1 23,W10,3,0,0,0,0
1 28,N5,1,0,0,0,0
1 28,N5,2,0,0,0,0
1 28,N5,3,0,0,0,0
1 28,N10,1,0,0,0,0
1 28,N10,2,0,0,0,0
1 28,N10,3,0,0,0,0
1 28,E5,1,1,0,0,0
1 28,E5,2,1,0,0,0
1 28,E5,3,0,0,0,0
1 28,E10,1,1,0,0,0
1 28,E10,2,0,0,0,0
1 28,E10,3,0,0,0,0
1 28,S5,1,1,0,0,0
1 28,S5,2,0,0,0,0
1 28,S5,3,0,0,0,0
1 28,S10,1,1,0,1,0
1 28,S10,2,0,0,0,0
1 28,S10,3,0,0,0,0
1 28,W5,1,0,0,0,0
1 28,W5,2,0,0,0,0
1 28,W5,3,0,0,0,0
1 28,W10,1,1,0,0,0
1 28,W10,2,0,0,0,0
1 28,W10,3,0,0,0,0
1 29,N5,1,1,1,0,0
1 29,N5,2,0,0,0,0
1 29,N5,3,0,0,0,0
1 29,N10,1,1,1,0,0
1 29,N10,2,0,0,0,0
1 29,N10,3,0,0,0,0
1 29,E5,1,1,0,0,0
1 29,E5,2,0,0,0,0
1 29,E5,3,0,0,0,0
1 29,E10,1,1,0,0,0
1 29,E10,2,0,0,0,0
1 29,E10,3,0,0,0,0
1 29,S5,1,0,0,0,0
1 29,S5,2,0,0,0,0
1 29,S5,3,0,0,0,0
1 29,S10,1,1,1,0,0
1 29,S10,2,0,0,0,0
1 29,S10,3,0,0,0,0
1 29,W5,1,1,0,0,0
1 29,W5,2,0,0,0,0
1 29,W5,3,0,0,0,0
1 29,W10,1,0,0,0,0
1 29,W10,2,0,0,0,0
1 29,W10,3,0,0,0,0
1 30,N5,1,0,0,0,0
1 30,N5,2,0,0,0,0
1 30,N5,3,0,0,0,0
1 30,N10,1,0,0,0,0
1 30,N10,2,0,0,0,0
1 30,N10,3,0,0,0,0
1 30,E5,1,0,0,0,0
1 30,E5,2,0,0,0,0
1 30,E5,3,0,0,0,0
1 30,E10,1,0,0,0,0
1 30,E10,2,0,0,0,0
1 30,E10,3,0,0,0,0
1 30,S5,1,1,0,0,0
1 30,S5,2,0,0,0,0
1 30,S5,3,0,0,0,0
1 30,S10,1,1,0,0,0
1 30,S10,2,0,0,0,0
1 30,S10,3,0,0,0,0
1 30,W5,1,0,0,0,0
1 30,W5,2,0,0,0,0
1 30,W5,3,0,0,0,0
1 30,W10,1,0,0,0,0
1 30,W10,2,0,0,0,0
1 30,W10,3,0,0,0,0
1 31,N5,1,0,0,0,0
1 31,N5,2,0,0,0,0
1 31,N5,3,0,0,0,0
1 31,N10,1,0,0,1,0
1 31,N10,2,0,0,1,0
1 31,N10,3,0,0,0,0
1 31,E5,1,1,0,0,0
1 31,E5,2,0,0,0,0
1 31,E5,3,0,0,0,0
