WaterAge,HerbivoreBiomass
25,3149.4
0,1225.21
2.58480000000017,830.03
0,1023.39
23.748125440001,469.7
22,1034.49
0,118.51
15,839.45
0,1650.81
5.63652736000003,1910.86
12.3860382000002,2838.63
36.2178911999992,341.33
0,880.28
12.8904652000022,1974.13
69.3331820799998,742.77
35.3247814399996,818.14
64.6526000000006,789.96
85.39441088,462.94
0,1296.81
70.00959616,691.21
7.4359999999998,757.88
13.0489999999999,1284.66
0,3371.57
24.2257282000003,1007.1
23.2748556799994,836.3
85.7741999999995,1054.38
37.3655462400022,1058.69
0,1283.28
19.3775820800003,5059.65
31,1603.15
23.6773452800012,1906.94
0,846.77
29.4450222,1227.83
10.81949056,734.78
0,2732.87
15,6721.18
43.5234718000002,1847.6
21.828,2422.46
13.3287999999999,3016.94
10.3023236000005,1453.51
0,2782.6
87.5187999999999,16.29
0,1478.49
42,1034.61
31.6411031999969,3450.05
63.7863999999999,958.74
63.7167999999996,1229.67
0,597.29
13,2812.31
22,1890.1
24,2923.24
35.9913814399996,1503.81
14.6477145999998,1537.43
0,550.57
9.86280979999984,955.66
0,526.2
76.3343999999993,1069.13
0,3596.52
0,766.26
20.9660019199998,765.84
46.6286371200002,940.82
4,1663.7
33.4636697600005,548.28
22.712323600001,616.75
31.2866633999965,1048.12
83,714.37
0,602.4
7.55147639999987,740.16
0,1147.19
21.7583999999986,639.9
39.6774000000016,5089.38
83.6671041600004,482.18
9.73193659999983,1104.88
11.7472000000005,179.73
0,701.98
0,13209.34
3,858.92
6,1093.63
14.7180313999993,611.52
53.927556200001,749.09
4.08166339999987,1567.53
0,1644.81
6.51629056000009,4360.7
6.45523819999991,386
0,560.23
0,350.9
0,1606.47
74.8258000000007,631.34
0,679.57
27.3491330000001,372.11
7.64100000000005,854.09
5.39169151999966,2137.43
24.1306092799995,1656.45
