plot,plot_2,loc,size,RO,BO,WO,CO
1 13,1_13,S5,1,1,0,0,0
1 13,1_13,S5,2,0,0,0,0
1 13,1_13,S5,3,0,0,0,0
1 13,1_13,S10,1,1,0,0,0
1 13,1_13,S10,2,1,0,0,0
1 13,1_13,S10,3,0,0,0,0
1 13,1_13,W5,1,1,0,1,0
1 13,1_13,W5,2,1,0,0,0
1 13,1_13,W5,3,0,0,0,0
1 13,1_13,W10,1,1,0,0,0
1 13,1_13,W10,2,0,0,0,0
1 13,1_13,W10,3,0,0,0,0
1 19,1_19,N5,1,0,0,0,0
1 19,1_19,N5,2,0,0,0,0
1 19,1_19,N5,3,0,0,0,0
1 19,1_19,N10,1,1,0,0,0
1 19,1_19,N10,2,1,0,0,0
1 19,1_19,N10,3,0,0,0,0
1 19,1_19,E5,1,1,0,0,0
1 19,1_19,E5,2,0,0,0,0
1 19,1_19,E5,3,0,0,0,0
1 19,1_19,E10,1,0,0,0,0
1 19,1_19,E10,2,0,0,0,0
1 19,1_19,E10,3,0,0,0,0
1 19,1_19,S5,1,1,0,0,0
1 19,1_19,S5,2,0,0,0,0
1 19,1_19,S5,3,0,0,0,0
1 19,1_19,S10,1,1,0,0,0
1 19,1_19,S10,2,0,0,0,0
1 19,1_19,S10,3,0,0,0,0
1 19,1_19,W5,1,1,0,0,0
1 19,1_19,W5,2,0,0,0,0
1 19,1_19,W5,3,0,0,0,0
1 19,1_19,W10,1,1,0,0,0
1 19,1_19,W10,2,0,0,0,0
1 19,1_19,W10,3,0,0,0,0
1 23,1_23,N5,1,1,0,0,0
1 23,1_23,N5,2,0,0,0,0
1 23,1_23,N5,3,0,0,0,0
1 23,1_23,N10,1,1,0,0,0
1 23,1_23,N10,2,0,0,0,0
1 23,1_23,N10,3,0,0,0,0
1 23,1_23,E5,1,1,0,0,0
1 23,1_23,E5,2,0,0,0,0
1 23,1_23,E5,3,0,0,0,0
1 23,1_23,E10,1,1,0,1,0
1 23,1_23,E10,2,0,0,0,0
1 23,1_23,E10,3,0,0,0,0
1 23,1_23,S5,1,1,0,0,0
1 23,1_23,S5,2,0,0,0,0
1 23,1_23,S5,3,0,0,0,0
1 23,1_23,S10,1,1,0,0,0
1 23,1_23,S10,2,0,0,0,0
1 23,1_23,S10,3,0,0,0,0
1 23,1_23,W5,1,1,1,1,0
1 23,1_23,W5,2,0,0,0,0
1 23,1_23,W5,3,0,0,0,0
1 23,1_23,W10,1,1,0,0,0
1 23,1_23,W10,2,0,0,0,0
1 23,1_23,W10,3,0,0,0,0
1 28,1_28,N5,1,0,0,0,0
1 28,1_28,N5,2,0,0,0,0
1 28,1_28,N5,3,0,0,0,0
1 28,1_28,N10,1,0,0,0,0
1 28,1_28,N10,2,0,0,0,0
1 28,1_28,N10,3,0,0,0,0
1 28,1_28,E5,1,1,0,0,0
1 28,1_28,E5,2,1,0,0,0
1 28,1_28,E5,3,0,0,0,0
1 28,1_28,E10,1,1,0,0,0
1 28,1_28,E10,2,0,0,0,0
1 28,1_28,E10,3,0,0,0,0
1 28,1_28,S5,1,1,0,0,0
1 28,1_28,S5,2,0,0,0,0
1 28,1_28,S5,3,0,0,0,0
1 28,1_28,S10,1,1,0,1,0
1 28,1_28,S10,2,0,0,0,0
1 28,1_28,S10,3,0,0,0,0
1 28,1_28,W5,1,0,0,0,0
1 28,1_28,W5,2,0,0,0,0
1 28,1_28,W5,3,0,0,0,0
1 28,1_28,W10,1,1,0,0,0
1 28,1_28,W10,2,0,0,0,0
1 28,1_28,W10,3,0,0,0,0
1 29,1_29,N5,1,1,1,0,0
1 29,1_29,N5,2,0,0,0,0
1 29,1_29,N5,3,0,0,0,0
1 29,1_29,N10,1,1,1,0,0
1 29,1_29,N10,2,0,0,0,0
1 29,1_29,N10,3,0,0,0,0
1 29,1_29,E5,1,1,0,0,0
1 29,1_29,E5,2,0,0,0,0
1 29,1_29,E5,3,0,0,0,0
1 29,1_29,E10,1,1,0,0,0
1 29,1_29,E10,2,0,0,0,0
1 29,1_29,E10,3,0,0,0,0
1 29,1_29,S5,1,0,0,0,0
1 29,1_29,S5,2,0,0,0,0
1 29,1_29,S5,3,0,0,0,0
1 29,1_29,S10,1,1,1,0,0
1 29,1_29,S10,2,0,0,0,0
1 29,1_29,S10,3,0,0,0,0
1 29,1_29,W5,1,1,0,0,0
1 29,1_29,W5,2,0,0,0,0
1 29,1_29,W5,3,0,0,0,0
1 29,1_29,W10,1,0,0,0,0
1 29,1_29,W10,2,0,0,0,0
1 29,1_29,W10,3,0,0,0,0
1 30,1_30,N5,1,0,0,0,0
1 30,1_30,N5,2,0,0,0,0
1 30,1_30,N5,3,0,0,0,0
1 30,1_30,N10,1,0,0,0,0
1 30,1_30,N10,2,0,0,0,0
1 30,1_30,N10,3,0,0,0,0
1 30,1_30,E5,1,0,0,0,0
1 30,1_30,E5,2,0,0,0,0
1 30,1_30,E5,3,0,0,0,0
1 30,1_30,E10,1,0,0,0,0
1 30,1_30,E10,2,0,0,0,0
1 30,1_30,E10,3,0,0,0,0
1 30,1_30,S5,1,1,0,0,0
1 30,1_30,S5,2,0,0,0,0
1 30,1_30,S5,3,0,0,0,0
1 30,1_30,S10,1,1,0,0,0
1 30,1_30,S10,2,0,0,0,0
1 30,1_30,S10,3,0,0,0,0
1 30,1_30,W5,1,0,0,0,0
1 30,1_30,W5,2,0,0,0,0
1 30,1_30,W5,3,0,0,0,0
1 30,1_30,W10,1,0,0,0,0
1 30,1_30,W10,2,0,0,0,0
1 30,1_30,W10,3,0,0,0,0
1 31,1_31,N5,1,0,0,0,0
1 31,1_31,N5,2,0,0,0,0
1 31,1_31,N5,3,0,0,0,0
1 31,1_31,N10,1,0,0,1,0
1 31,1_31,N10,2,0,0,1,0
1 31,1_31,N10,3,0,0,0,0
1 31,1_31,E5,1,1,0,0,0
1 31,1_31,E5,2,0,0,0,0
1 31,1_31,E5,3,0,0,0,0
1 31,1_31,E10,1,0,0,0,0
1 31,1_31,E10,2,0,0,0,0
1 31,1_31,E10,3,0,0,0,0
1 31,1_31,S5,1,1,0,0,0
1 31,1_31,S5,2,0,0,1,0
1 31,1_31,S5,3,0,0,0,0
1 31,1_31,S10,1,0,0,0,0
1 31,1_31,S10,2,0,0,0,0
1 31,1_31,S10,3,0,0,0,0
1 31,1_31,W5,1,0,0,0,0
1 31,1_31,W5,2,1,0,0,0
1 31,1_31,W5,3,0,0,0,0
1 31,1_31,W10,1,1,0,0,0
1 31,1_31,W10,2,1,0,0,0
1 31,1_31,W10,3,0,0,0,0
1 32,1_32,N5,1,1,0,0,0
1 32,1_32,N5,2,1,0,0,0
1 32,1_32,N5,3,0,0,0,0
1 32,1_32,N10,1,0,0,0,0
1 32,1_32,N10,2,1,1,1,0
1 32,1_32,N10,3,0,0,0,0
1 32,1_32,E5,1,1,0,1,0
1 32,1_32,E5,2,0,0,0,0
1 32,1_32,E5,3,0,0,0,0
1 32,1_32,E10,1,1,0,1,0
1 32,1_32,E10,2,1,0,1,0
1 32,1_32,E10,3,0,0,0,0
1 32,1_32,S5,1,0,0,1,0
1 32,1_32,S5,2,0,0,1,0
1 32,1_32,S5,3,0,0,0,0
1 32,1_32,S10,1,0,0,0,0
1 32,1_32,S10,2,0,0,1,0
1 32,1_32,S10,3,0,0,1,0
1 32,1_32,W5,1,0,0,0,0
1 32,1_32,W5,2,0,0,1,0
1 32,1_32,W5,3,0,0,0,0
1 32,1_32,W10,1,0,0,0,0
1 32,1_32,W10,2,0,0,0,0
1 32,1_32,W10,3,0,0,0,0
1 33,1_33,N5,1,0,0,0,0
1 33,1_33,N5,2,0,0,0,0
1 33,1_33,N5,3,0,0,0,0
1 33,1_33,N10,1,0,0,0,0
1 33,1_33,N10,2,0,0,0,0
1 33,1_33,N10,3,0,0,0,0
1 33,1_33,E5,1,1,0,0,0
1 33,1_33,E5,2,0,0,0,0
1 33,1_33,E5,3,0,0,0,0
1 33,1_33,E10,1,0,0,0,0
1 33,1_33,E10,2,0,0,0,0
1 33,1_33,E10,3,0,0,0,0
1 33,1_33,S5,1,0,0,0,0
