plot,plot_2,SPP,DBH,CnpExp,DieB,Cond,Epi.S,Notes
1 03,1_03,RM,11.4,2,4,D,NA,Top broken off at about 5 m 
1 09,1_09,BO,31.5,2,4,D,NA,
1 09,1_09,RO,36.2,1,4,D,NA,Fungus on stem
1 09,1_09,RO,34.4,1,4,D,NA,
1 09,1_09,RO,24.3,3,4,D,NA,
1 19,1_19,WO,31.9,2,4,D,NA,
1 23,1_23,WO,25.6,3,4,D,NA,
1 23,1_23,WO,43.4,1,4,D,NA,
1 28,1_28,NS,25.5,3,4,D,NA,
1 34,1_34,WA,28.3,2,4,D,NA,D-shaped holes (EAB)
1 34,1_34,RO,54.5,1,4,D,No,
1 34,1_34,RO,58.4,1,4,D,No,
1 34,1_34,RO,41.6,2,4,D,No,Leaning 
1 34,1_34,RO,47.5,1,4,D,No,
1 34,1_34,RO,53.2,1,4,D,No,
1 40,1_40,WA,27,2,4,D,NA,"Short maybe top broken off, d shaped exit holes"
1 40,1_40,WO,24.6,2,4,D,NA,mushrooms
1 45,1_45,RO,68.3,1,4,D,NA,
1 45,1_45,RO,34.9,1,4,D,NA,Snag
1 45,1_45,RO,56.7,1,4,D,NA,
1 50,1_50,RO,23.9,1,4,D,NA,
1 51,1_51,RO,27,1,4,D,NA,
1 51,1_51,WO,27.1,1,4,D,NA,
1 51,1_51,WO,63.1,1,4,D,NA,
1 51,1_51,RO,45.8,1,4,D,NA,
1 54,1_54,RO,56.6,1,4,D,NA,
1 65,1_65,RO,36.2,1,4,D,NA,
1 67,1_67,WP,15.7,3,4,D,NA,
1 67,1_67,RO,29.2,1,4,D,NA,
1 67,1_67,WO,29.2,3,4,D,NA,
1 71,1_71,WA,38.8,1,4,D,NA,
1 71,1_71,YB,35.3,2,4,D,NA,
1 75,1_75,HL,45.4,2,4,D,NA,
1 75,1_75,HL,39.5,3,4,D,NA,Has another stem not measured
1 75,1_75,HL,40.6,2,4,D,NA,
1 75,1_75,HL,52.9,2,4,D,NA,Snag
1 80,1_80,RO,37.9,1,4,D,NA,
1 80,1_80,RO,56.7,1,4,D,NA,
1 83,1_83,RO,29,1,4,D,No,
1 83,1_83,RO,42.2,1,4,D,NA,
1 89,1_89,RO,53.2,1,4,D,NA,
1 97,1_97,WP,65.1,1,4,D,NA,Hollow
1 97,1_97,YB,22.1,1,4,D,NA,
2 07,2_07,BO,19,3,4,D,NA,
2 07,2_07,RO,46.3,1,4,D,NA,Mushrooms
2 07,2_07,WA,23.3,3,4,D,NA,
2 08,2_08,RO,50.9,1,4,D,NA,
2 08,2_08,RO,53.3,3,4,D,NA,Snag
2 08,2_08,Unknown,20.2,2,4,D,NA,Bark peeling off
2 08,2_08,Unknown,22.8,3,4,D,NA,Snag
2 08,2_08,WA,21.7,3,4,D,NA,Snag
2 15,2_15,SM,25,3,4,D,NA,"snag, bark peeling off"
2 15,2_15,SM,30.5,3,4,D,NA,snag lots of holes bark peeling off
2 15,2_15,PB,23.8,3,4,D,NA,"snag, mushrooms"
2 15,2_15,WA,60.8,1,4,D,NA,more leaves than previous still missing many
2 38,2_38,WP,17.6,3,4,D,NA,
2 38,2_38,WP,14.1,3,4,D,NA,
2 38,2_38,WP,14.1,3,4,D,NA,
2 39 ,2_39 ,RO,77.2,1,4,D,No,
2 40,2_40,RO,49,1,4,D,NA,
2 40,2_40,RO,66.7,1,4,D,NA,
2 41,2_41,WO,35.6,1,4,D,NA,
2 49,2_49,WP,27.6,1,4,D,NA,
2 49,2_49,RO,65.9,1,1,D,No,
2 49,2_49,WO,49.2,1,3,D,No,
2 49,2_49,HL,36.5,2,1,D,NA,
2 49,2_49,HL,41.6,1,3,D,NA,
2 49,2_49,HL,32,2,3,D,NA,
2 49,2_49,SM,31.2,2,3,D,NA,
2 49,2_49,PB,34.1,1,4,D,NA,snag bark peeling
2 49,2_49,PB,35.3,1,4,D,NA,"snag bark peeling, many holes"
2 49,2_49,PB,32.5,2,4,D,NA,snag bark peeling
2 49,2_49,PB,23.1,2,4,D,NA,snag bark peeling
2 49,2_49,Unknown,23.2,3,4,D,NA,Snag no bark
3 14,3_14,RO,43.434,1,4,D,NA,
3 15,3_15,RO,56.896,1,4,D,NA,
3 15,3_15,WP,51.816,3,4,D,NA,
3 15,3_15,RO,40.64,2,4,D,NA,
3 17,3_17,WO,74.8,2,4,D,No,
3 17,3_17,RO,86.3,1,4,D,No,
3 19,3_19,BO,58.9,1,4,D,NA,
3 19,3_19,BO,31.1,2,4,D,NA,
3 19,3_19,RO,45.3,1,4,D,NA,
3 19,3_19,RO,49.6,1,4,D,NA,mushrooms
3 19,3_19,BO,32.8,1,4,D,NA,
3 20,3_20,RO,38,1,4,D,No,"dead oak, big spider?"
3 20,3_20,RO,43.1,1,4,D,No,
3 20,3_20,RO,36.2,1,4,D,No,
3 22,3_22,RO,80.3,1,4,D,No,
3 22,3_22,RO,85.8,1,4,D,No,
3 25,3_25,WO,42.3,1,4,D,NA,
3 28,3_28,BO,53.5,1,4,D,NA,
