hotplot,lat,lon,id
5_12,42.35325,-72.27128,133
5_15,42.35139,-72.27573,134
5_20,42.35189,-72.27924,135
5_24,42.34898,-72.27517,136
5_26,42.34733,-72.27493,137
5_27,42.34637,-72.27493,138
5_30,42.34786,-72.28159,139
5_32,42.35205,-72.28252,140
5_38,42.34606,-72.26328,141
5_54,42.34507,-72.27723,142
5_55,42.34463,-72.27662,143
5_56,42.34324,-72.27633,144
5_64,42.34243,-72.2699,147
5_65,42.34232,-72.26943,148
5_77,42.34374,-72.28221,150
5_81,42.34145,-72.26411,151
5_85,42.34005,-72.26536,152
5_86,42.33958,-72.2681,153
5_87,42.3409,-72.28213,154
5_90,42.3388,-72.28098,156
5_91_,42.33801,-72.27817,157
5_92,42.33775,-72.27675,158
5_97,42.34061,-72.28269,159
5_98,42.33841,-72.26698,160
6_1,42.43383,-72.23645,161
6_3,42.43634,-72.24239,162
6_4,42.43611,-72.24168,163
6_5,42.43621,-72.24364,164
6_8,42.43394,-72.23177,165
6_11,42.43192,-72.24899,166
6_12,42.43145,-72.23272,167
6_13,42.43076,-72.23361,168
6_19,42.42854,-72.23193,169
6_23,42.43239,-72.23631,170
6_24,42.43322,-72.24232,171
6_28,42.43236,-72.24375,172
6_29,42.43077,-72.23529,173
6_33,42.42984,-72.23856,174
6_35,42.43199,-72.2343,175
6_37,42.43359,-72.2471,176
6_42,42.43026,-72.25018,177
6_46,42.42814,-72.2341,178
6_47,42.42723,-72.23343,179
6_50,42.42474,-72.23544,180
6_56,42.42661,-72.2381,182
6_59,42.42605,-72.23994,183
6_65,42.43053,-72.24829,185
6_66,42.42877,-72.24837,186
6_67,42.42767,-72.24319,187
6_68,42.42813,-72.24908,188
6_69,42.42744,-72.24542,189
6_70,42.42699,-72.24487,190
6_72,42.4271,-72.24789,191
6_77,42.42518,-72.24135,192
6_78,42.42519,-72.24538,193
6_81,42.42369,-72.23858,194
6_82,42.42457,-72.24345,195
6_84,42.42218,-72.2443,196
6_85,42.42782,-72.25335,197
6_88,42.42427,-72.25037,198
6_89,42.42099,-72.24205,199
6_90,42.42016,-72.240545,200
6_91,42.42046,-72.24143,201
6_92,42.42258,-72.25058,202
6_93,42.42089,-72.24628,203
6_96,42.42087,-72.25009,204
